location=a-1-1, xdata=44.848270, ydata=1237.810559
location=a-1-2, xdata=75.087844, ydata=1227.730701
location=a-1-3, xdata=107.847382, ydata=1220.170807
location=a-2-1, xdata=44.848270, ydata=1144.571872
location=a-2-2, xdata=80.127773, ydata=1142.051908
location=a-2-3, xdata=107.847382, ydata=1131.972050
location=a-3-1, xdata=42.328305, ydata=1051.333185
location=a-3-2, xdata=77.607808, ydata=1048.813221
location=a-3-3, xdata=107.847382, ydata=1038.733363
location=a-4-1, xdata=42.328305, ydata=955.574534
location=a-4-2, xdata=77.607808, ydata=950.534605
location=a-4-3, xdata=107.847382, ydata=948.014641
location=a-5-1, xdata=39.808341, ydata=872.415705
location=a-5-2, xdata=75.087844, ydata=864.855812
location=a-5-3, xdata=107.847382, ydata=862.335847
location=a-6-1, xdata=47.368234, ydata=781.696983
location=a-6-2, xdata=75.087844, ydata=779.177019
location=a-6-3, xdata=107.847382, ydata=766.577196
location=b-1-1, xdata=380.003549, ydata=1232.770630
location=b-1-2, xdata=352.283940, ydata=1225.210736
location=b-1-3, xdata=319.524401, ydata=1222.690772
location=b-2-1, xdata=385.043478, ydata=1142.051908
location=b-2-2, xdata=344.724046, ydata=1137.011979
location=b-2-3, xdata=319.524401, ydata=1131.972050
location=b-3-1, xdata=382.523514, ydata=1053.853150
location=b-3-2, xdata=352.283940, ydata=1046.293256
location=b-3-3, xdata=317.004437, ydata=1038.733363
location=b-4-1, xdata=387.563443, ydata=958.094499
location=b-4-2, xdata=349.763975, ydata=953.054570
location=b-4-3, xdata=322.044366, ydata=945.494676
location=b-5-1, xdata=385.043478, ydata=872.415705
location=b-5-2, xdata=349.763975, ydata=864.855812
location=b-5-3, xdata=322.044366, ydata=862.335847
location=b-6-1, xdata=385.043478, ydata=781.696983
location=b-6-2, xdata=349.763975, ydata=771.617125
location=b-6-3, xdata=319.524401, ydata=769.097161
location=c-1-1, xdata=475.762201, ydata=1232.770630
location=c-1-2, xdata=508.521739, ydata=1225.210736
location=c-1-3, xdata=538.761313, ydata=1220.170807
location=c-2-1, xdata=475.762201, ydata=1142.051908
location=c-2-2, xdata=508.521739, ydata=1139.531943
location=c-2-3, xdata=543.801242, ydata=1131.972050
location=c-3-1, xdata=473.242236, ydata=1051.333185
location=c-3-2, xdata=506.001775, ydata=1043.773292
location=c-3-3, xdata=543.801242, ydata=1036.213398
location=c-4-1, xdata=470.722272, ydata=960.614463
location=c-4-2, xdata=506.001775, ydata=950.534605
location=c-4-3, xdata=541.281278, ydata=945.494676
location=c-5-1, xdata=475.762201, ydata=874.935670
location=c-5-2, xdata=500.961846, ydata=869.895741
location=c-5-3, xdata=538.761313, ydata=859.815883
location=c-6-1, xdata=473.242236, ydata=781.696983
location=c-6-2, xdata=506.001775, ydata=776.657054
location=c-6-3, xdata=538.761313, ydata=769.097161
location=d-1-1, xdata=813.437445, ydata=1235.290594
location=d-1-2, xdata=773.118012, ydata=1227.730701
location=d-1-3, xdata=750.438332, ydata=1220.170807
location=d-2-1, xdata=813.437445, ydata=1144.571872
